"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Traf3ip1" 558 776 306 1078 444 458
"Asb1" 116 97 60 182 75 56
"Twist2" 4 2 5 4 2 2
"Hdac4" 717 1102 538 1847 740 867
"Ndufa10" 658 907 400 1038 365 348
"Mir6900" 0 1 0 2 1 1
"Olfr1416" 0 0 0 0 0 0
"Olfr1415" 0 1 0 0 0 0
"Olfr1414" 1 0 0 0 0 0
"Olfr1413" 0 3 0 0 0 0
"Olfr1412" 0 3 0 0 1 0
"Olfr1411" 0 0 0 0 0 0
"Olfr1410" 0 0 0 0 0 0
"Olfr12" 0 1 1 0 0 0
"Myeov2" 24 39 8 29 1 9
"Otos" 0 3 1 5 0 0
"Gpc1" 318 637 322 406 151 174
"Mir149" 0 0 0 0 0 0
"Ankmy1" 4 8 5 3 2 2
"Dusp28" 20 29 4 15 9 1
"Rnpepl1" 144 209 93 206 51 83
"9430060I03Rik" 6 6 2 23 3 9
"Capn10" 155 212 84 255 95 126
"Gpr35" 12 19 7 18 13 14
"Aqp12" 0 0 0 0 0 0
"Kif1a" 247 468 200 226 82 119
"Agxt" 1 1 0 0 0 0
"2310007B03Rik" 2 1 4 3 0 0
"Sned1" 264 497 293 1279 481 523
"Mir6901" 0 0 0 1 1 1
"Mterf4" 349 619 297 1157 477 479
"Pask" 519 793 383 1224 477 522
"Ppp1r7" 700 856 361 1219 379 477
"Mir6902" 0 0 0 0 0 0
"Mir6345" 0 0 0 1 0 0
"Ano7" 20 48 28 27 15 21
"Hdlbp" 4642 5761 2607 5665 1783 2083
"Sept2" 1789 2017 812 2117 725 789
"Farp2" 42 84 55 151 84 82
"Stk25" 340 521 221 775 256 294
"Bok" 73 86 20 49 13 24
"Thap4" 230 251 141 424 124 164
"Atg4b" 228 307 155 517 188 224
"Dtymk" 700 841 320 1077 346 376
"Ing5" 755 1039 383 1656 560 652
"D2hgdh" 96 141 79 199 67 91
"Gal3st2" 0 1 0 0 1 0
"Gm9994" 0 0 1 0 0 0
"Gm6086" 5 9 5 10 6 7
"Neu4" 4 5 1 0 0 0
"Pdcd1" 2 6 0 6 0 0
"4930440C22Rik" 2 0 0 0 0 0
"Fam174a" 24 35 13 56 13 20
"St8sia4" 1 8 5 11 4 4
"4930598F16Rik" 0 1 0 1 0 0
"1700063A18Rik" 0 0 0 0 0 0
"4930533P14Rik" 0 1 0 0 0 0
"Slco4c1" 50 102 86 73 40 40
"Panct2" 83 139 73 374 142 154
"Slco6b1" 0 0 0 5 1 2
"Slco6c1" 2 1 0 0 0 0
"D1Ertd622e" 19 34 7 47 9 17
"Ppip5k2" 1220 1670 809 2254 916 898
"Gin1" 96 172 78 214 61 60
"Pam" 109 185 106 228 130 111
"B230216N24Rik" 9 5 4 7 4 2
"1810006J02Rik" 0 1 0 0 0 0
"Slco6d1" 1 1 0 0 0 0
